2398.09;2.03;550.09;549.41;3.28;12.61;416.80;6.00;5992.67;2497758.14
2398.14;1.93;550.41;549.75;3.29;12.62;416.80;6.00;5992.67;2497758.14
2398.20;2.00;550.57;549.98;3.28;12.61;416.80;6.00;5992.67;2497758.14
2398.25;2.04;550.57;549.85;3.28;12.61;416.80;6.00;5992.67;2497758.14
2398.30;2.00;550.50;549.87;3.27;12.60;416.80;6.00;5992.67;2497758.14
2398.36;2.02;550.55;549.87;3.30;12.65;416.80;6.00;5992.67;2497758.14
2398.31;2.02;550.39;549.75;3.33;12.70;416.90;6.00;5995.91;2499675.97
2398.25;1.96;550.34;549.72;3.31;12.66;416.90;6.00;5995.91;2499675.97
2398.19;1.99;550.35;549.73;3.29;12.64;416.90;6.00;5995.91;2499675.97
2398.13;2.12;550.24;549.57;3.29;12.62;416.90;6.00;5995.91;2499675.97
2398.07;1.95;550.22;549.54;3.29;12.62;416.90;6.00;5995.91;2499675.97
2398.01;2.08;550.22;549.55;3.28;12.60;416.90;6.00;5995.91;2499675.97
2397.95;2.07;550.19;549.54;3.28;12.60;416.90;6.00;5995.91;2499675.97
2397.89;2.01;550.44;549.81;3.27;12.59;416.90;6.00;5995.91;2499675.97
2397.83;1.99;550.53;549.86;3.28;12.61;416.90;6.00;5995.91;2499675.97
2397.77;2.03;550.60;549.92;3.27;12.59;416.90;6.00;5995.91;2499675.97
2397.71;2.05;550.48;549.82;3.27;12.59;416.90;6.00;5995.91;2499675.97
2397.65;2.02;550.38;549.72;3.27;12.57;416.90;6.00;5995.91;2499675.97
2397.59;2.05;550.32;549.67;3.25;12.55;416.90;6.00;5995.91;2499675.97
2397.53;2.06;550.27;549.63;3.26;12.55;416.90;6.00;5995.91;2499675.97
2397.47;2.11;550.17;549.51;3.25;12.54;416.90;6.00;5995.91;2499675.97
2397.41;1.97;550.28;549.65;3.24;12.52;416.90;6.00;5995.91;2499675.97
2397.35;1.95;550.13;549.45;3.25;12.54;416.90;6.00;5995.91;2499675.97
2397.29;2.03;550.15;549.42;3.26;12.55;416.90;6.00;5995.91;2499675.97
2397.23;2.08;550.22;549.52;3.25;12.55;416.90;6.00;5995.91;2499675.97
2397.17;1.95;550.18;549.50;3.26;12.55;416.90;6.00;5995.91;2499675.97
2397.11;2.00;550.16;549.50;3.25;12.54;416.90;6.00;5995.91;2499675.97
2397.05;1.96;550.17;549.51;3.25;12.53;416.90;6.00;5995.91;2499675.97
2396.99;2.01;550.23;549.54;3.25;12.52;416.90;6.00;5995.91;2499675.97
