? 3-RJS-745 Qi AI MIQ inter (l/h);? 3-RJS-745 PI Delta P inferior (kgf/cm²);? 3-RJS-745 PI Delta P intermediário (kgf/cm²);? 3-RJS-745 PI Delta P superior (kgf/cm²);? 3-RJS-745 Qo estimado ICV sup (m³/d);? 3-RJS-745 Qo estimado ICV int (m³/d);? 3-RJS-745 Qw (m³/d);? 3-RJS-745 Qg (m³/d)
5,061;0,109;2,277;4,005;1.420,52;2.841,03;16,591;3.000.724,63
5,056;0,11;2,27;4,022;1.394,81;2.789,62;16,591;3.000.724,63
4,994;0,078;1,576;2,412;1.369,10;2.738,20;16,591;3.000.724,63
4,853;0,077;1,537;2,436;1.343,39;2.686,78;16,591;3.000.724,63
4,903;0,075;1,525;2,439;1.317,68;2.635,36;16,591;3.000.724,63
4,819;0,077;1,517;2,445;1.291,97;2.583,94;16,591;3.000.724,63
4,844;0,075;1,499;2,456;1.266,26;2.532,53;16,591;3.000.724,63
4,892;0,079;1,525;2,431;1.240,55;2.481,11;16,591;3.000.724,63
4,926;0,066;1,514;2,445;1.214,85;2.429,69;16,591;3.000.724,63
4,922;0,076;1,516;2,441;1.189,14;2.378,27;16,591;3.000.724,63
4,95;0,075;1,507;2,447;1.195,71;2.391,43;10,902;1.570.433,37
4,911;0,075;1,511;2,443;1.214,13;2.428,27;10,902;1.570.433,37
4,858;0,075;1,507;2,436;1.232,55;2.465,11;10,902;1.570.433,37
4,867;0,075;1,51;2,449;1.250,97;2.501,95;10,902;1.570.433,37
4,806;0,075;1,509;2,445;1.269,39;2.538,78;10,902;1.570.433,37
4,788;0,074;1,508;2,448;1.287,81;2.575,62;10,902;1.570.433,37
4,835;0,074;1,508;2,438;1.306,23;2.612,46;10,902;1.570.433,37
4,862;0,076;1,505;2,448;1.324,65;2.649,30;10,902;1.570.433,37
4,808;0,075;1,507;2,439;1.343,07;2.686,14;10,902;1.570.433,37
0,012;0,014;0,03;0,063;1.361,49;2.722,98;10,902;1.570.433,37
0,01;0,012;-0,042;0,098;1.379,91;2.759,82;10,902;1.570.433,37
0,011;0,01;-0,058;0,1;1.398,33;2.796,66;10,902;1.570.433,37
0,01;0,014;0,003;0,104;1.416,75;2.833,49;10,902;1.570.433,37
4,679;0,017;-0,059;0,126;1.435,17;2.870,33;10,902;1.570.433,37
4,662;0,017;-0,025;0,123;1.453,59;2.907,17;10,902;1.570.433,37
4,722;0,015;-0,009;0,12;1.472,01;2.944,01;10,902;1.570.433,37
4,689;0,019;0,109;0,236;1.490,42;2.980,85;10,902;1.570.433,37
4,683;0,029;0,349;0,547;1.508,84;3.017,69;10,902;1.570.433,37
4,717;0,032;0,347;0,496;1.527,26;3.054,53;10,902;1.570.433,37
;;;;1.545,68;3.091,37;10,902;1.570.433,37
4,658;0,074;1,475;2,569;1.564,10;3.128,20;10,902;1.570.433,37
4,638;0,078;1,549;2,63;1.582,52;3.165,04;10,902;1.570.433,37
4,681;0,106;2,2;4,064;1.600,94;3.201,88;10,902;1.570.433,37
4,894;0,106;2,238;4,044;1.619,36;3.238,72;10,902;1.570.433,37
4,96;0,106;2,257;4,051;1.574,78;3.149,57;14,978;2.665.432,64
4,935;0,11;2,255;4,03;1.507,11;3.014,21;14,978;2.665.432,64
4,873;0,109;2,262;4,03;1.439,43;2.878,85;14,978;2.665.432,64
4,915;0,108;2,262;4,029;1.371,75;2.743,49;14,978;2.665.432,64
4,959;0,107;2,265;4,025;1.304,07;2.608,13;14,978;2.665.432,64
5,001;0,107;2,268;4,023;1.236,39;2.472,78;14,978;2.665.432,64
4,917;0,11;2,267;4,019;1.168,71;2.337,42;14,978;2.665.432,64
4,981;0,108;2,266;4,019;1.101,03;2.202,06;14,978;2.665.432,64
4,963;0,109;2,265;4,016;1.033,35;2.066,70;14,978;2.665.432,64
4,998;0,11;2,271;4,017;965,67;1.931,34;14,978;2.665.432,64
5,031;0,11;2,27;4,027;897,991;1.795,98;14,978;2.665.432,64
5,081;0,107;2,263;4,018;830,312;1.660,62;14,978;2.665.432,64
5,013;0,11;2,263;4,016;762,633;1.525,27;14,978;2.665.432,64
5,053;0,108;2,269;4,021;694,953;1.389,91;14,978;2.665.432,64
4,94;0,112;2,268;4,016;627,274;1.254,55;14,978;2.665.432,64
4,973;0,107;2,271;4,019;559,595;1.119,19;14,978;2.665.432,64
4,983;0,11;2,269;4,018;491,916;983,831;14,978;2.665.432,64
5,009;0,109;2,271;4,022;424,236;848,473;14,978;2.665.432,64
5,054;0,107;2,262;4,013;356,557;713,114;14,978;2.665.432,64
4,991;0,088;1,808;3,188;288,878;577,755;14,978;2.665.432,64
4,991;0,057;1,05;1,925;221,198;442,397;14,978;2.665.432,64
4,991;0,027;0,292;0,663;153,519;307,038;14,978;2.665.432,64
4,991;0,013;-0,046;0,101;85,84;171,68;14,978;2.665.432,64
0,009;0,013;-0,047;0,101;18,161;36,321;14,978;2.665.432,64
0,01;0,013;-0,048;0,102;0;0;0;0
0,01;0,012;-0,048;0,101;0;0;0;0
0,01;0,015;-0,048;0,102;0;0;0;0
0,01;0,014;-0,056;0,094;0;0;0;0
0,01;0,014;-0,048;0,101;0;0;0;0
0,01;0,013;-0,045;0,102;0;0;0;0
0,01;0,031;-0,019;0,102;0;0;0;0
0,01;0,008;-0,047;0,098;0;0;0;0
0,01;0,013;-0,048;0,102;0;0;0;0
0,011;0,005;-0,044;0,093;0;0;0;0
0,011;0,012;-0,049;0,107;0;0;0;0
0,01;0,014;-0,047;0,102;0;0;0;0
0,01;0,017;-0,047;0,103;0;0;0;0
0,01;0,012;-0,046;0,102;0;0;0;0
0,01;0,014;-0,05;0,102;0;0;0;0
0,011;0,017;-0,056;0,101;0;0;0;0
0,011;0,012;-0,036;0,11;0;0;0;0
0,01;0,013;-0,045;0,102;0;0;0;0
0,01;0,013;-0,045;0,101;0;0;0;0
0,011;0,016;-0,043;0,107;0;0;0;0
0,01;0,013;-0,044;0,103;0;0;0;0
0,011;0,013;-0,044;0,102;0;0;0;0
0,01;0,012;-0,044;0,102;0;0;0;0
0,011;0,013;-0,043;0,101;0;0;0;0
0,01;0,01;-0,045;0,096;1,237;2,475;0;0
0,011;0,017;-0,045;0,101;2,929;5,857;0;0
0,011;0,007;-0,047;0,098;4,62;9,239;0;0
0,011;0,013;-0,044;0,104;6,311;12,622;0;0
0,011;0,014;-0,044;0,102;8,002;16,004;0;0
0,011;0,013;-0,044;0,103;9,693;19,386;0;0
0,012;0,026;-0,045;0,105;11,384;22,768;0;0
0,011;0,015;-0,049;0,103;13,075;26,151;0;0
0,011;0,012;-0,035;0,125;14,767;29,533;0;0
0,011;0,013;-0,044;0,103;16,458;32,915;0;0
0,01;0,011;-0,046;0,1;18,149;36,298;0;0
0,011;0,01;-0,042;0,116;19,84;39,68;0;0
0,011;0,021;-0,046;0,109;21,531;43,062;0;0
0,01;0,015;-0,047;0,103;23,222;46,445;0;0
0,012;0,013;-0,047;0,102;24,913;49,827;0;0
0,01;0,01;-0,035;0,103;26,605;53,209;0;0
0,01;0,013;-0,047;0,102;28,296;56,591;0;0
0,011;0,013;-0,046;0,103;29,987;59,974;0;0
0,011;0,009;-0,047;0,124;31,678;63,356;0;0
0,011;0,009;-0,047;0,109;33,369;66,738;0;0
0,01;0,013;-0,05;0,103;35,06;70,121;0;0
0,011;0,016;-0,048;0,101;36,751;73,503;0;0
0,01;0,014;-0,045;0,102;38,443;76,885;0;0
0,01;0,015;-0,049;0,091;40,134;80,267;0;0
0,01;0,013;-0,048;0,107;44,308;88,616;0,374;56.968,72
0,011;0,018;-0,049;0,105;49,393;98,786;0,374;56.968,72
0,011;0,013;-0,046;0,101;54,478;108,956;0,374;56.968,72
0,01;0,013;-0,048;0,103;59,563;119,126;0,374;56.968,72
0,01;0,012;-0,052;0,104;64,648;129,296;0,374;56.968,72
0,009;0,011;-0,03;0,092;69,733;139,466;0,374;56.968,72
0,01;0,009;-0,031;0,081;74,818;149,636;0,374;56.968,72
0,01;0,014;-0,045;0,119;79,903;159,806;0,374;56.968,72
0,01;0,013;-0,048;0,102;84,988;169,976;0,374;56.968,72
0,011;0,009;-0,049;0,104;90,073;180,146;0,374;56.968,72
0,01;0,015;-0,047;0,109;95,158;190,316;0,374;56.968,72
0,01;0,011;-0,047;0,104;100,243;200,486;0,374;56.968,72
0,011;-0,005;-0,052;0,104;105,328;210,657;0,374;56.968,72
0,01;0,013;-0,047;0,102;110,413;220,827;0,374;56.968,72
0,01;0,013;-0,047;0,102;115,498;230,997;0,374;56.968,72
0,01;0,013;-0,043;0,101;120,583;241,167;0,374;56.968,72
0,01;0,011;-0,041;0,087;125,668;251,337;0,374;56.968,72
0,01;0,013;-0,045;0,108;130,753;261,507;0,374;56.968,72
0,01;0,013;-0,039;0,112;135,838;271,677;0,374;56.968,72
0,011;0,012;-0,043;0,087;140,923;281,847;0,374;56.968,72
6,304;0,024;0,245;0,416;146,008;292,017;0,374;56.968,72
0,011;0,013;-0,042;0,098;151,093;302,187;0,374;56.968,72
0,01;0,013;-0,061;0,101;156,178;312,357;0,374;56.968,72
0,011;0,014;-0,048;0,101;161,263;322,527;0,374;56.968,72
0,01;0;-0,049;0,101;212,216;424,433;1,5;271.335,28
0,01;0,015;-0,041;0,106;279,991;559,982;1,5;271.335,28
0,01;0,013;-0,048;0,1;347,766;695,531;1,5;271.335,28
0,011;0,012;-0,046;0,101;415,54;831,081;1,5;271.335,28
0,01;0,012;-0,049;0,098;483,315;966,63;1,5;271.335,28
0,01;0,013;-0,041;0,102;551,09;1.102,18;1,5;271.335,28
0,009;0,01;-0,052;0,103;618,864;1.237,73;1,5;271.335,28
0,01;0,008;-0,045;0,107;686,639;1.373,28;1,5;271.335,28
0,009;-0,001;-0,046;0,115;754,414;1.508,83;1,5;271.335,28
0,01;0,067;-0,043;0,103;822,188;1.644,38;1,5;271.335,28
0,011;0,012;-0,066;0,094;889,963;1.779,93;1,5;271.335,28
0,011;0,012;-0,042;0,118;957,738;1.915,48;1,5;271.335,28
0,011;0,014;-0,039;0,098;1.025,51;2.051,02;1,5;271.335,28
7,921;0,013;-0,039;0,107;1.093,29;2.186,57;1,5;271.335,28
6,557;0,016;-0,043;0,102;1.161,06;2.322,12;1,5;271.335,28
6,383;0,014;-0,032;0,094;1.228,84;2.457,67;1,5;271.335,28
7,216;0,013;-0,037;0,078;1.296,61;2.593,22;1,5;271.335,28
7,113;0,018;0,104;0,276;1.364,39;2.728,77;1,5;271.335,28
7,02;0,019;0,092;0,217;1.432,16;2.864,32;1,5;271.335,28
7,015;0,038;0,556;0,871;1.499,94;2.999,87;1,5;271.335,28
6,963;0,036;0,563;0,832;1.567,71;3.135,42;1,5;271.335,28
6,915;0,036;0,567;0,824;1.635,48;3.270,97;1,5;271.335,28
6,923;0,034;0,568;0,833;1.703,26;3.406,52;1,5;271.335,28
6,925;0,037;0,601;0,878;1.771,03;3.542,07;1,5;271.335,28
6,878;0,038;0,658;0,959;1.794,71;3.589,42;16,499;2.937.521,98
6,926;0,039;0,658;0,956;1.802,21;3.604,43;16,499;2.937.521,98
7,022;0,041;0,662;0,951;1.809,72;3.619,44;16,499;2.937.521,98
6,857;0,041;0,728;1,088;1.817,22;3.634,45;16,499;2.937.521,98
7,587;0,102;2,077;4,02;1.824,73;3.649,45;16,499;2.937.521,98
7,383;0,107;2,22;4,089;1.832,23;3.664,46;16,499;2.937.521,98
7,483;0,106;2,232;4,041;1.839,74;3.679,47;16,499;2.937.521,98
7,826;0,108;2,238;4,037;1.847,24;3.694,48;16,499;2.937.521,98
7,59;0,107;2,237;4,01;1.854,74;3.709,49;16,499;2.937.521,98
7,919;0,109;2,241;4,014;1.862,25;3.724,50;16,499;2.937.521,98
7,561;0,11;2,245;3,997;1.869,75;3.739,50;16,499;2.937.521,98
7,495;0,107;2,234;3,954;1.877,26;3.754,51;16,499;2.937.521,98
7,647;0,109;2,255;4,015;1.884,76;3.769,52;16,499;2.937.521,98
7,5;0,104;2,235;3,968;1.892,26;3.784,53;16,499;2.937.521,98
7,377;0,109;2,242;3,982;1.899,77;3.799,54;16,499;2.937.521,98
7,375;0,109;2,243;3,989;1.907,27;3.814,54;16,499;2.937.521,98
7,543;0,108;2,235;3,988;1.914,78;3.829,55;16,499;2.937.521,98
7,478;0,108;2,242;4,005;1.922,28;3.844,56;16,499;2.937.521,98
7,419;0,108;2,238;3,993;1.929,79;3.859,57;16,499;2.937.521,98
7,488;0,104;2,243;3,993;1.937,29;3.874,58;16,499;2.937.521,98
7,58;0,105;2,242;3,994;1.944,79;3.889,59;16,499;2.937.521,98
7,554;0,107;2,238;3,983;1.952,30;3.904,59;16,499;2.937.521,98
7,565;0,107;2,243;3,997;1.959,80;3.919,60;16,499;2.937.521,98
7,515;0,107;2,243;3,986;1.967,31;3.934,61;16,499;2.937.521,98
7,509;0,108;2,245;3,984;1.938,20;3.876,41;18,16;3.220.732,07
7,395;0,107;2,242;4,017;1.895,68;3.791,36;18,16;3.220.732,07
7,495;0,108;2,241;3,983;1.853,15;3.706,30;18,16;3.220.732,07
7,425;0,108;2,248;3,978;1.810,63;3.621,25;18,16;3.220.732,07
7,438;0,109;2,241;3,983;1.768,10;3.536,20;18,16;3.220.732,07
7,453;0,108;2,242;3,975;1.725,57;3.451,14;18,16;3.220.732,07
7,488;0,109;2,246;3,984;1.683,05;3.366,09;18,16;3.220.732,07
7,424;0,108;2,239;3,98;1.640,52;3.281,04;18,16;3.220.732,07
7,422;0,109;2,238;3,982;1.597,99;3.195,99;18,16;3.220.732,07
7,381;0,108;2,245;3,978;1.555,47;3.110,93;18,16;3.220.732,07
7,417;0,109;2,239;3,977;1.512,94;3.025,88;18,16;3.220.732,07
7,373;0,108;2,237;3,983;1.470,41;2.940,83;18,16;3.220.732,07
7,284;0,106;2,244;3,974;1.427,89;2.855,77;18,16;3.220.732,07
7,364;0,108;2,243;3,985;1.385,36;2.770,72;18,16;3.220.732,07
7,349;0,108;2,24;3,977;1.342,83;2.685,67;18,16;3.220.732,07
7,326;0,108;2,241;3,98;1.300,31;2.600,62;18,16;3.220.732,07
7,401;0,107;2,235;3,977;1.257,78;2.515,56;18,16;3.220.732,07
7,317;0,105;2,241;4;1.215,26;2.430,51;18,16;3.220.732,07
7,354;0,106;2,241;3,979;1.172,73;2.345,46;18,16;3.220.732,07
7,318;0,108;2,238;3,975;1.130,20;2.260,40;18,16;3.220.732,07
7,387;0,107;2,246;3,992;1.087,68;2.175,35;18,16;3.220.732,07
7,391;0,105;2,245;3,993;1.045,15;2.090,30;18,16;3.220.732,07
7,49;0,108;2,241;3,99;1.002,62;2.005,25;18,16;3.220.732,07
7,445;0,105;2,242;3,986;960,096;1.920,19;18,16;3.220.732,07
7,473;0,107;2,248;3,988;964,14;1.928,28;8,748;1.566.753,12
7,476;0,108;2,242;3,982;985,263;1.970,53;8,748;1.566.753,12
7,468;0,109;2,243;3,988;1.006,39;2.012,77;8,748;1.566.753,12
7,521;0,105;2,241;3,987;1.027,51;2.055,02;8,748;1.566.753,12
7,478;0,105;2,246;3,987;1.048,63;2.097,27;8,748;1.566.753,12
7,498;0,106;2,245;3,986;1.069,76;2.139,51;8,748;1.566.753,12
7,363;0,108;2,253;4,016;1.090,88;2.181,76;8,748;1.566.753,12
7,381;0,108;2,255;4,008;1.112,00;2.224,00;8,748;1.566.753,12
0,007;0,016;0,024;0,088;1.133,13;2.266,25;8,748;1.566.753,12
7,22;0,014;-0,017;0,096;1.154,25;2.308,50;8,748;1.566.753,12
7,174;0,013;-0,026;0,095;1.175,37;2.350,74;8,748;1.566.753,12
7,246;0,011;-0,014;0,093;1.196,49;2.392,99;8,748;1.566.753,12
7,182;0,013;-0,034;0,102;1.217,62;2.435,24;8,748;1.566.753,12
7,143;0,013;-0,035;0,101;1.238,74;2.477,48;8,748;1.566.753,12
7,053;0,013;-0,036;0,108;1.259,86;2.519,73;8,748;1.566.753,12
7,013;0,014;-0,049;0,116;1.280,99;2.561,97;8,748;1.566.753,12
7,056;0,014;-0,036;0,103;1.302,11;2.604,22;8,748;1.566.753,12
7,333;0,014;-0,036;0,108;1.323,23;2.646,47;8,748;1.566.753,12
7,261;0,043;0,845;1,498;1.344,36;2.688,71;8,748;1.566.753,12
7,136;0,049;0,908;1,418;1.365,48;2.730,96;8,748;1.566.753,12
7,472;0,05;0,923;1,42;1.386,60;2.773,21;8,748;1.566.753,12
7,323;0,05;0,933;1,421;1.407,73;2.815,45;8,748;1.566.753,12
7,231;0,05;0,939;1,419;1.428,85;2.857,70;8,748;1.566.753,12
6,196;0,049;0,943;1,424;1.449,97;2.899,94;8,748;1.566.753,12
0,012;0,052;0,944;1,422;1.449,96;2.899,91;13,423;2.394.790,72
-0,003;0,051;0,947;1,419;1.442,19;2.884,38;13,423;2.394.790,72
9,035;0,05;0,947;1,43;1.434,42;2.868,84;13,423;2.394.790,72
7,422;0,052;0,947;1,424;1.426,65;2.853,31;13,423;2.394.790,72
0,017;0,051;0,95;1,427;1.418,89;2.837,77;13,423;2.394.790,72
